mass_A
t	x	y
1.010000000E1	-1.485664528E-1	-8.669956126E-3
1.013333333E1	-1.486103180E-1	-8.673701555E-3
1.016666667E1	-1.487449837E-1	-8.684545824E-3
1.020000000E1	-1.490717351E-1	-8.676193566E-3
1.023333333E1	-1.497007717E-1	-8.641913366E-3
1.026666667E1	-1.503285970E-1	-8.604902451E-3
1.030000000E1	-1.510271013E-1	-8.592077899E-3
1.033333333E1	-1.517581522E-1	-8.566031268E-3
1.036666667E1	-1.522873767E-1	-8.635872301E-3
1.040000000E1	-1.530017388E-1	-8.368092290E-3
1.043333333E1	-1.534976122E-1	-8.307853299E-3
1.046666667E1	-1.539406502E-1	-8.231610482E-3
1.050000000E1	-1.543361324E-1	-8.223172043E-3
1.053333333E1	-1.547030218E-1	-8.137417516E-3
1.056666667E1	-1.550273969E-1	-8.274868662E-3
1.060000000E1	-1.551423327E-1	-8.178340713E-3
1.063333333E1	-1.553343080E-1	-8.266856759E-3
1.066666667E1	-1.553533416E-1	-8.251441622E-3
1.070000000E1	-1.553745219E-1	-8.264250337E-3
1.073333333E1	-1.553161811E-1	-8.235105037E-3
1.076666667E1	-1.552830340E-1	-8.257218447E-3
1.080000000E1	-1.552551248E-1	-8.257594032E-3
1.083333333E1	-1.552243305E-1	-8.256449613E-3
1.086666667E1	-1.551648947E-1	-8.239644474E-3
1.090000000E1	-1.550569645E-1	-8.240641512E-3
1.093333333E1	-1.548539402E-1	-8.248964796E-3
1.096666667E1	-1.546618966E-1	-8.223192865E-3
1.100000000E1	-1.542309592E-1	-8.253984426E-3
1.103333333E1	-1.539363187E-1	-8.233305830E-3
1.106666667E1	-1.535541600E-1	-8.237837161E-3
1.110000000E1	-1.532934340E-1	-8.208915939E-3
1.113333333E1	-1.530267985E-1	-8.260916567E-3
1.116666667E1	-1.527921493E-1	-8.189703915E-3
1.120000000E1	-1.524048327E-1	-8.217115011E-3
1.123333333E1	-1.522208532E-1	-8.183668841E-3
1.126666667E1	-1.519015132E-1	-8.222958864E-3
1.130000000E1	-1.516347716E-1	-8.188484941E-3
1.133333333E1	-1.515970049E-1	-8.243114441E-3
1.136666667E1	-1.515898801E-1	-8.215543224E-3
1.140000000E1	-1.516083612E-1	-8.255282978E-3
1.143333333E1	-1.516307864E-1	-8.235731701E-3
1.146666667E1	-1.516702165E-1	-8.256910212E-3
1.150000000E1	-1.516782399E-1	-8.241257813E-3
1.153333333E1	-1.516978976E-1	-8.243111588E-3
1.156666667E1	-1.517238300E-1	-8.244274238E-3
1.160000000E1	-1.517749697E-1	-8.243902023E-3
1.163333333E1	-1.518296991E-1	-8.247925189E-3
1.166666667E1	-1.519887895E-1	-8.222783885E-3
1.170000000E1	-1.522797450E-1	-8.235003759E-3
1.173333333E1	-1.525804388E-1	-8.201219255E-3
1.176666667E1	-1.529337982E-1	-8.165466515E-3
1.180000000E1	-1.532237664E-1	-8.176722101E-3
1.183333333E1	-1.534027712E-1	-8.199837749E-3
1.186666667E1	-1.536259094E-1	-8.190962427E-3
1.190000000E1	-1.537934230E-1	-8.179953417E-3
1.193333333E1	-1.540991568E-1	-8.189423921E-3
1.196666667E1	-1.541904639E-1	-8.194806958E-3
1.200000000E1	-1.543367909E-1	-8.145651487E-3
1.203333333E1	-1.544157111E-1	-8.249546452E-3
1.206666667E1	-1.544198614E-1	-8.232036184E-3
1.210000000E1	-1.544341727E-1	-8.255662829E-3
1.213333333E1	-1.544067182E-1	-8.243402982E-3
1.216666667E1	-1.543850229E-1	-8.255764545E-3
1.220000000E1	-1.543617878E-1	-8.225822930E-3
1.223333333E1	-1.543722868E-1	-8.264460775E-3
1.226666667E1	-1.543644077E-1	-8.256399012E-3
1.230000000E1	-1.543450366E-1	-8.255586704E-3
1.233333333E1	-1.543220785E-1	-8.248450280E-3
1.236666667E1	-1.542524030E-1	-8.225260393E-3
1.240000000E1	-1.542183210E-1	-8.236337909E-3
1.243333333E1	-1.538680335E-1	-8.213788739E-3
1.246666667E1	-1.539169303E-1	-8.273463752E-3
1.250000000E1	-1.537482898E-1	-8.233741062E-3
1.253333333E1	-1.536768456E-1	-8.250239952E-3
1.256666667E1	-1.534417463E-1	-8.230864061E-3
1.260000000E1	-1.533555324E-1	-8.254939551E-3
1.263333333E1	-1.533170748E-1	-8.226851013E-3
1.266666667E1	-1.532538634E-1	-8.237250353E-3
1.270000000E1	-1.532557434E-1	-8.222131291E-3
1.273333333E1	-1.532702222E-1	-8.232236506E-3
1.276666667E1	-1.532662903E-1	-8.225257912E-3
1.280000000E1	-1.533109167E-1	-8.233482158E-3
1.283333333E1	-1.533422749E-1	-8.224834220E-3
1.286666667E1	-1.533883087E-1	-8.235469703E-3
1.290000000E1	-1.534103468E-1	-8.238729086E-3
1.293333333E1	-1.534388648E-1	-8.251406498E-3
1.296666667E1	-1.534513253E-1	-8.245042586E-3
1.300000000E1	-1.534696070E-1	-8.255827099E-3
1.303333333E1	-1.534729093E-1	-8.246653524E-3
1.306666667E1	-1.534780357E-1	-8.247852539E-3
1.310000000E1	-1.535129131E-1	-8.246693201E-3
1.313333333E1	-1.535301058E-1	-8.251384316E-3
1.316666667E1	-1.535503961E-1	-8.256348332E-3
1.320000000E1	-1.535740818E-1	-8.248677470E-3
1.323333333E1	-1.535676599E-1	-8.255794927E-3
1.326666667E1	-1.535655453E-1	-8.241840147E-3
1.330000000E1	-1.535760660E-1	-8.252588497E-3
1.333333333E1	-1.535845424E-1	-8.218874750E-3
1.336666667E1	-1.535752442E-1	-8.256615928E-3
1.340000000E1	-1.535425672E-1	-8.237921541E-3
1.343333333E1	-1.535253050E-1	-8.252924170E-3
1.346666667E1	-1.535058360E-1	-8.240373075E-3
1.350000000E1	-1.534906148E-1	-8.255399508E-3
1.353333333E1	-1.534777645E-1	-8.247256690E-3
1.356666667E1	-1.534707705E-1	-8.253591982E-3
1.360000000E1	-1.534613093E-1	-8.253036724E-3
1.363333333E1	-1.534558634E-1	-8.252989731E-3
1.366666667E1	-1.534462097E-1	-8.246787688E-3
1.370000000E1	-1.534459937E-1	-8.254383697E-3
1.373333333E1	-1.534190266E-1	-8.246740517E-3
1.376666667E1	-1.534026856E-1	-8.247491288E-3
1.380000000E1	-1.533854365E-1	-8.239781861E-3
1.383333333E1	-1.533427281E-1	-8.243671385E-3
1.386666667E1	-1.533448686E-1	-8.239797543E-3
1.390000000E1	-1.533440221E-1	-8.244090148E-3
1.393333333E1	-1.533486424E-1	-8.231698932E-3
1.396666667E1	-1.533565630E-1	-8.242642101E-3
1.400000000E1	-1.533203756E-1	-8.244219133E-3
1.403333333E1	-1.533658675E-1	-8.242625122E-3
1.406666667E1	-1.533984212E-1	-8.244921150E-3
